"tweet_id","text","query","user_id","user_name","follower_count","user_tweet_count","likes","retweets","location_name","latitude","longitude","user_location","date"
1346818686854832128,"core of the problem is states should have money for this but because of bad spending policies and then getting slammed by covid many states dont have the budget to set up proper administration trump picked a very silly time to make a point about spending habits it backfired","covid",1346811587781402624,"",0,15,0,0,"",NA,NA,"","2021-01-06"
1346818679766454272,"let trump continue to let americans die from covid and ignore russian hacking of our government","covid",1342228944272158720,"",24,778,1,0,"",NA,NA,"","2021-01-06"
1346818642957111296,"republicans turn on trump after georgia loss all the covid dead amp dying americans had no effect on corrupt rep members via","covid",172573744,"",2375,121721,0,0,"",NA,NA,"","2021-01-06"
1346818635407519744,"its just that every conspiracy theorist ive come across denies covid exists wont wear a mask believes david ikes lizard rubbish is a trump supporter is anti blm etc etc","covid",739094150075813888,"",16541,421402,0,1,"",NA,NA,"","2021-01-06"
1346818578293673984,"if not that covid19 kills the rich too celebrities wont bother seun kuti kidd biden senate trump","covid",313192451,"",723,25299,2,0,"",NA,NA,"USA","2021-01-06"
1346818577240895488,"meat packers were literally forced to remain on the job by decree of the trump administration to keep meat production humming while covid19 cases in the industry exploded now the state is saying that they shouldnt even be given access to the vaccine","covid",962777100,"",286,39123,0,162,"",NA,NA,"","2021-01-06"
1346818536157700096,"trumps report card added 8 trillion to national debt 42 reversed 80 epa regs withdrew from 13 int orgs appointed 225 judges signed 2017 tax law amp paid 750 mismanaged covid amp 355k died visited his properties 422 times pocketed 20m at his properties told 26k lies","covid",132513054,"",6656,194932,0,30,"",NA,NA,"","2021-01-06"
1346818525529313280,"trump had instant access to exclusive antibody meds and a private hospital when he had covid you or me would get paracetamol the same man who said he would bang his daughter makes sense to believe this man","covid",1258082291370397696,"",254,3502,2,0,"",NA,NA,"","2021-01-06"
1346818466955882496,"coronavirus america is getting ready to do the unthinkable ration health care because trump failed to control covid biden taking over cant come soon enough we must finally confront this deadly disease get it under control asap save lives and get everyone back to work","covid",793257137866768384,"",3094,14153,2,0,"",NA,NA,"USA","2021-01-06"
1346818450530979840,"the covid19 pcr tests are fake the models were fake now a coronavirus truthergrifter is speaking at the trump rally","covid",732971256,"",8961,118502,0,556,"",NA,NA,"","2021-01-06"
1346818445111824384,"america owes a huge debt to stacey for what shes done now biden can choose the ag he wants and cabinet members and judges and the doj and pursue criminal charges against the seditious trumplicans purjury money laundering blackmail collusion etc etc amp deal with covid","covid",1325138549423792128,"",10,1656,0,0,"",NA,NA,"","2021-01-06"
1346818422714339328,"kenya to procure 24 million doses of covid19 vaccine by february health cabinet mutahi kagwe says 24 million doses of covid19 vaccine will be in the country by the second week of february dr dre ozil mike sonko trump democrats","covid",4875021449,"",1704,25286,0,0,"",NA,NA,"","2021-01-06"
1346818407237238784,"auspol morrison suffers poor judgement trump response to covid climate change china the economy in fact he gets few if anything right he is arrogant a know all a liar superficial condones corruption he is lazy and his beliefs fraudulent and self serving","covid",1116967002,"",261,2215,0,270,"",NA,NA,"","2021-01-06"
1346818401721872384,"expand scotus impeach trumpappointed federal judiciary statehood for dc statehood or independence for puerto rico abolish ice end the electoral college tear down the wall open the borders rejoin paris nationwide covid policy healthcare green new deal doit","covid",2296406126,"",33,3157,0,63,"",NA,NA,"OK","2021-01-06"
1346818387062763520,"yeah it came from china but it wasnt chinese scientists creating the virus in a lab for evil purposes as trump supporters like to espouse and that was my point dumb has been the trump administration response to covid19 including the incompetent vaccine distribution","covid",3751707496,"",1579,4211,1,0,"",NA,NA,"USA","2021-01-06"
1346818368796585984,"so if trump calls covid the china virus can we call the new variant b117 the bojo virus","covid",193130354,"",1688,5747,7,0,"",NA,NA,"","2021-01-06"
1346818325041410048,"the awesome jacinda ardern moves new zealand to all but life as normal 5 months ahead of plan after 17 national covidfree days every success jacinda ardern achieves magnifies the failure of the west and in particular of boris johnson and donald trump","covid",85357015,"",3656,35856,0,15,"",NA,NA,"","2021-01-06"
1346818320213938176,"at what point has trump stood up to china was it the trade deal where they wont even do half of what was promised or when covid hit and he was on his knees praising xi the current gop runs on myths they dont stand for anything","covid",234775568,"",874,82818,1,0,"",NA,NA,"TX","2021-01-06"
1346818260612894720,"trump devils are in dc today on behalf of their crime boss who is almost always in the wrong amp now as usual he cant resist stirring up trouble amp worse spreading killer covid while at it then wonders why he lost as he dmn well deserved to trumplost2020","covid",1279668507072962560,"",81,1057,0,0,"",NA,NA,"","2021-01-06"
1346818259530764288,"he was skeptical of covid19 now from his hospital bed he posts videos on social media urging others to wear their masks covid19 vaccination antivax wednesdaythought trumpvirus antimask maskup trumpliedpeopledied","covid",88536854,"",192,4452,0,0,"",NA,NA,"","2021-01-06"
1346818240786427904,"wearing a mask in no way will guarantee you wont get covid thats not the point the point is the more people who wear masks the less the virus will be able to spread and less people will be sick its doing your part for team which trump doesnt seem to understand","covid",886004179206057984,"",1735,31617,0,0,"",NA,NA,"","2021-01-06"
1346818224525111296,"thank you georgia thank you true americans thank you god we can now work to heal stop the deaths of covid undo policies designed to lift up the rich amp stomp on the poor amp we can be 1 with our allies again byebyetrump mitchslapped senateflippedblue georgiansvoted","covid",118491454,"",3790,138096,0,25,"",NA,NA,"","2021-01-06"
1346818218917326848,"neonazi troll baked alaska claims he tested positive for covid19 hes been in the middle of trump protests throughout the day without a mask","covid",1220937768077012992,"",70,11839,0,194,"",NA,NA,"","2021-01-06"
1346818206246313984,"president donald trump all but guaranteed such suffering for some of his most fervent supporters when despite the existence of the new covid19 strain he urged the maga masses to congregate in washington to protest joe bidens victory","covid",63144098,"",24694,214012,0,1,"",NA,NA,"USA","2021-01-06"
1346818150726299648,"trumps covid consequences gopdeathcult","covid",827327176613715968,"",533,8212,0,0,"",NA,NA,"IL","2021-01-06"
1346818143361097728,"as of right now we are over 350000 deaths due to covid but thats not are main concern that 600 dollar stimulus and what president trump is going to do after january 20 is more important then covid19","covid",979529406006878208,"",27,462,0,0,"",NA,NA,"","2021-01-06"
1346818138902589440,"covid19 desatan is just another evil trump republican remember this when its election time cnn ron desantis craven dodge on covid via","covid",1144362608692269056,"",85,1536,0,0,"",NA,NA,"USA","2021-01-06"
1346818084053659648,"i stole this from becausewellits perfect maga magaiscancelled trump trumpmeltdown trumpcrimefamily wearamask wearadamnmask covid covid19 coronavirus gop gophypocrisy gopseditioustraitors gopsedition trumpispathetic trumpfailedamerica biden","covid",1042228017374928896,"",252,37298,0,178,"",NA,NA,"","2021-01-06"
1346818071185428480,"guy whos so inept hes allowed covid 19 to run unchecked throughout our country says what absolutely looking forward to january 20th when america will see joe biden sworn in as the 46th president of the usa trumplied352kamericansdied 46thpresidentelectjoebiden","covid",1268692168736030720,"",30,7428,0,0,"",NA,NA,"","2021-01-06"
1346818049018634240,"donald trumps covid19 plan feb covid isnt real mar itll go away apr itll go away may itll go away jun itll go away jul itll go away aug itll go away sep itll go away oct still holding superspreader rallys","covid",25690115,"",652,45762,0,0,"",NA,NA,"","2021-01-06"
