"tweet_id","text","query","user_id","user_name","follower_count","user_tweet_count","likes","retweets","location_name","latitude","longitude","user_location","date"
1346903621825404928,"trump is considering travelling to his turnberry golf resort to avoid joe biden inauguration but scotlands minister said it is illegal to travel in or out of the country without a valid reason coming to play golf is not what i would consider to be an essential purpose","travel",710516798232219648,"",20374,42650,0,0,"",NA,NA,"","2021-01-06"
1346903261391908864,"sorry my exboss and former first lady cannot attend they are wise not to travel and to among the large crowds during the pandemic jimmy and rosalynn carter wont attend bidens inauguration via","travel",2443554770,"",222,5795,0,0,"",NA,NA,"","2021-01-06"
1346902653561950208,"george w and laura bush will travel to dc to attend presidentelect joe bidens inauguration gt","travel",926600953,"",750,135271,0,15,"",NA,NA,"TX","2021-01-06"
1346901156522381312,"an internet trollrussia got all these idiots to spend their money to travel risk their lives with covid buy gear so they can pretend to be soilders just to see biden win the presidency again","travel",197707650,"",56,4419,0,0,"",NA,NA,"","2021-01-06"
1346900506002804736,"when biden takes over he will ban travel","travel",25050010,"",72,9267,0,0,"",NA,NA,"","2021-01-06"
1346899347884056576,"while it is unlikely biden will mandate the vaccine nationally we also have no sense of what kind of regulations hell put in place to up compliance 1 travel restrictions 2 not being able to attend sports events concerts etc etc","travel",1932437030,"",12516,21951,12,4,"",NA,NA,"","2021-01-06"
1346898740783828992,"whats going to happen when they find out biden is still president and spent that stimulus check to travel to dc and stay at a holiday inn","travel",1336177917546598400,"",15,147,0,0,"",NA,NA,"","2021-01-06"
1346898363753635840,"biden won a free fair and secure election only halfwits who travel in lies and conspiracy theories believe otherwise trumpism is not democracy it is all about authoritarianism and tyranny that and paying fealty to a giant orange turd","travel",57650207,"",397,12602,0,0,"",NA,NA,"USA","2021-01-06"
1346898290382667776,"thank you for covering that rubbish i can not travel to dc to see my mother because these rightwing nut jobs are making us all less safe we will still inaugurate presidentelect 46 joe biden and vicepresidentelect kamala harris in 14 days","travel",476926394,"",439,23472,0,0,"",NA,NA,"","2021-01-06"
1346898206605651968,"i can not travel to dc to see my mother because these rightwing nut jobs are making us all less safe we will still inaugurate presidentelect 46 joe biden and vicepresidentelect kamala harris in 14 days","travel",476926394,"",439,23472,0,0,"",NA,NA,"","2021-01-06"
1346897854250553344,"george w and laura bush will travel to dc to attend presidentelect joe bidens inauguration","travel",482454245,"",437,14490,0,59,"",NA,NA,"","2021-01-06"
1346896290731479040,"trump was considering travelling to his turnberry golf resort in scotland avoiding mr biden being sworn into office scotlands first minister nicola sturgeon has said hes not allowed to visit scotland as illegal to travel without a valid essential reason amp playing golf isnt","travel",2302054214,"",97,6115,4,0,"",NA,NA,"","2021-01-06"
1346969793182593024,"dems are ecstatic and already mapping out the legislative opportunities this means bidens cabinet noms will probably get confirmed quickly and makes 2000 stimulus checks and expanded state funding to distribute coronavirus vaccines more likely","coronavirus",777064237101219840,"",479,9129,0,132,"",NA,NA,"","2021-01-06"
